event_message,id,identifier,method,path,search,status_code,timestamp
PATCH | 204 | 34.96.41.121 | 986f481eedb0770d | https://htxsylxwvcbrazdowjys.supabase.co/rest/v1/jobs?id=eq.d92ce920-6b8b-428e-b349-70377a232bca | node,e9df6369-d051-4893-b5b2-8fc16ca4ebb1,htxsylxwvcbrazdowjys,PATCH,/rest/v1/jobs,?id=eq.d92ce920-6b8b-428e-b349-70377a232bca,204,1759188766555000
PATCH | 204 | 34.96.41.121 | 986f47ecee483d94 | https://htxsylxwvcbrazdowjys.supabase.co/rest/v1/jobs?id=eq.d92ce920-6b8b-428e-b349-70377a232bca | node,ca2a28f7-5bb1-4a6d-afad-7fb70277cbb1,htxsylxwvcbrazdowjys,PATCH,/rest/v1/jobs,?id=eq.d92ce920-6b8b-428e-b349-70377a232bca,204,1759188758562000
POST | 200 | 34.96.41.121 | 986f446acb65cd30 | https://htxsylxwvcbrazdowjys.supabase.co/storage/v1/object/intermediates/979a0520-b212-4865-bbcb-e524d639e337/d92ce920-6b8b-428e-b349-70377a232bca/edge.png | node,efae62a9-0fee-4321-89d3-91655d049908,htxsylxwvcbrazdowjys,POST,/storage/v1/object/intermediates/979a0520-b212-4865-bbcb-e524d639e337/d92ce920-6b8b-428e-b349-70377a232bca/edge.png,null,200,1759188623765000
POST | 200 | 34.96.41.121 | 986f43e14db4cd30 | https://htxsylxwvcbrazdowjys.supabase.co/storage/v1/object/intermediates/979a0520-b212-4865-bbcb-e524d639e337/d92ce920-6b8b-428e-b349-70377a232bca/edge.png | node,f59c5b8e-1b50-45da-a50a-5ff2f4ff1df8,htxsylxwvcbrazdowjys,POST,/storage/v1/object/intermediates/979a0520-b212-4865-bbcb-e524d639e337/d92ce920-6b8b-428e-b349-70377a232bca/edge.png,null,200,1759188598674000
PATCH | 204 | 34.96.41.121 | 986f42dcad7ecd30 | https://htxsylxwvcbrazdowjys.supabase.co/rest/v1/jobs?id=eq.d92ce920-6b8b-428e-b349-70377a232bca | node,5d4a15d6-95d6-4257-9ec7-f41b461b0186,htxsylxwvcbrazdowjys,PATCH,/rest/v1/jobs,?id=eq.d92ce920-6b8b-428e-b349-70377a232bca,204,1759188551158000
POST | 200 | 34.96.41.121 | 986f42989a309564 | https://htxsylxwvcbrazdowjys.supabase.co/storage/v1/object/artifacts/979a0520-b212-4865-bbcb-e524d639e337/d92ce920-6b8b-428e-b349-70377a232bca/coloring_page.pdf | node,fa4e25da-0f51-462c-b795-e577265828c7,htxsylxwvcbrazdowjys,POST,/storage/v1/object/artifacts/979a0520-b212-4865-bbcb-e524d639e337/d92ce920-6b8b-428e-b349-70377a232bca/coloring_page.pdf,null,200,1759188540475000
POST | 200 | 34.96.41.121 | 986f41038c57eeff | https://htxsylxwvcbrazdowjys.supabase.co/storage/v1/object/intermediates/979a0520-b212-4865-bbcb-e524d639e337/d92ce920-6b8b-428e-b349-70377a232bca/edge.png | node,322889d3-3104-453b-b553-4b539aee5f53,htxsylxwvcbrazdowjys,POST,/storage/v1/object/intermediates/979a0520-b212-4865-bbcb-e524d639e337/d92ce920-6b8b-428e-b349-70377a232bca/edge.png,null,200,1759188477961000
PATCH | 204 | 34.96.41.121 | 986f401f68233c8b | https://htxsylxwvcbrazdowjys.supabase.co/rest/v1/jobs?id=eq.d92ce920-6b8b-428e-b349-70377a232bca | node,b1905232-f26b-4492-bf8c-b24c5fa5505d,htxsylxwvcbrazdowjys,PATCH,/rest/v1/jobs,?id=eq.d92ce920-6b8b-428e-b349-70377a232bca,204,1759188438955000
POST | 200 | 34.96.41.121 | 986f3fe7ce343c8b | https://htxsylxwvcbrazdowjys.supabase.co/storage/v1/object/artifacts/979a0520-b212-4865-bbcb-e524d639e337/d92ce920-6b8b-428e-b349-70377a232bca/coloring_page.pdf | node,7da18e49-06cb-4fbd-8967-ef454b22b736,htxsylxwvcbrazdowjys,POST,/storage/v1/object/artifacts/979a0520-b212-4865-bbcb-e524d639e337/d92ce920-6b8b-428e-b349-70377a232bca/coloring_page.pdf,null,200,1759188431268000
PATCH | 204 | 34.96.41.121 | 986f3fd32f73eeff | https://htxsylxwvcbrazdowjys.supabase.co/rest/v1/jobs?id=eq.d92ce920-6b8b-428e-b349-70377a232bca | node,4e60ee25-6691-484f-9190-f8e8c6345c87,htxsylxwvcbrazdowjys,PATCH,/rest/v1/jobs,?id=eq.d92ce920-6b8b-428e-b349-70377a232bca,204,1759188426754000
POST | 200 | 34.96.41.121 | 986f3d582eebb6cd | https://htxsylxwvcbrazdowjys.supabase.co/storage/v1/object/intermediates/979a0520-b212-4865-bbcb-e524d639e337/d92ce920-6b8b-428e-b349-70377a232bca/edge.png | node,66e7470b-8c6a-4985-9e03-901d5f3b365f,htxsylxwvcbrazdowjys,POST,/storage/v1/object/intermediates/979a0520-b212-4865-bbcb-e524d639e337/d92ce920-6b8b-428e-b349-70377a232bca/edge.png,null,200,1759188325656000
