error,event_message,id,level,msg,path,status,timestamp
"failed to close prepared statement: ERROR: current transaction is aborted, commands ignored until end of transaction block (SQLSTATE 25P02): ERROR: duplicate key value violates unique constraint ""users_email_partial_key"" (SQLSTATE 23505)","{""component"":""api"",""error"":""failed to close prepared statement: ERROR: current transaction is aborted, commands ignored until end of transaction block (SQLSTATE 25P02): ERROR: duplicate key value violates unique constraint \""users_email_partial_key\"" (SQLSTATE 23505)"",""level"":""error"",""method"":""POST"",""msg"":""500: Database error saving new user"",""path"":""/otp"",""referer"":""http://localhost:3000/auth/callback"",""remote_addr"":""81.77.184.246"",""request_id"":""983009d052199a7c-LHR"",""time"":""2025-09-22T07:20:11Z""}",ad49173b-26a5-4f4f-89ec-2abe939720e9,error,500: Database error saving new user,/otp,null,1758525611000000
null,"{""component"":""api"",""duration"":104770989,""error_code"":""unexpected_failure"",""level"":""info"",""method"":""POST"",""msg"":""request completed"",""path"":""/otp"",""referer"":""http://localhost:3000/auth/callback"",""remote_addr"":""81.77.184.246"",""request_id"":""983009d052199a7c-LHR"",""status"":500,""time"":""2025-09-22T07:20:11Z""}",8bd3e9dd-caeb-48cb-a1cb-78ec81061281,info,request completed,/otp,500,1758525611000000
"failed to close prepared statement: ERROR: current transaction is aborted, commands ignored until end of transaction block (SQLSTATE 25P02): ERROR: duplicate key value violates unique constraint ""users_email_partial_key"" (SQLSTATE 23505)","{""component"":""api"",""error"":""failed to close prepared statement: ERROR: current transaction is aborted, commands ignored until end of transaction block (SQLSTATE 25P02): ERROR: duplicate key value violates unique constraint \""users_email_partial_key\"" (SQLSTATE 23505)"",""level"":""error"",""method"":""POST"",""msg"":""500: Database error saving new user"",""path"":""/admin/generate_link"",""referer"":""http://localhost:3000"",""remote_addr"":""81.77.184.246"",""request_id"":""98300574b3e045a0-LHR"",""time"":""2025-09-22T07:17:13Z""}",4dfd0971-00b2-47ca-b0c5-5622c2c962ba,error,500: Database error saving new user,/admin/generate_link,null,1758525433000000
null,"{""component"":""api"",""duration"":10413926,""error_code"":""unexpected_failure"",""level"":""info"",""method"":""POST"",""msg"":""request completed"",""path"":""/admin/generate_link"",""referer"":""http://localhost:3000"",""remote_addr"":""81.77.184.246"",""request_id"":""98300574b3e045a0-LHR"",""status"":500,""time"":""2025-09-22T07:17:13Z""}",39959ea5-70e9-4147-86a1-62c1e79bf6d0,info,request completed,/admin/generate_link,500,1758525433000000
null,"{""component"":""api"",""duration"":6551682,""error_code"":""otp_disabled"",""level"":""info"",""method"":""POST"",""msg"":""request completed"",""path"":""/otp"",""referer"":""http://localhost:3000"",""remote_addr"":""81.77.184.246"",""request_id"":""98300575440945a0-LHR"",""status"":422,""time"":""2025-09-22T07:17:13Z""}",4cc812ff-d651-47e9-b4d8-af6d3a77b5ab,info,request completed,/otp,422,1758525433000000
422: Signups not allowed for otp,"{""component"":""api"",""error"":""422: Signups not allowed for otp"",""level"":""info"",""method"":""POST"",""msg"":""422: Signups not allowed for otp"",""path"":""/otp"",""referer"":""http://localhost:3000"",""remote_addr"":""81.77.184.246"",""request_id"":""98300575440945a0-LHR"",""time"":""2025-09-22T07:17:13Z""}",8d4a233e-d3b7-4e6d-9cb5-b26c804bc046,info,422: Signups not allowed for otp,/otp,null,1758525433000000
null,"{""component"":""api"",""duration"":243981316,""error_code"":""unexpected_failure"",""level"":""info"",""method"":""POST"",""msg"":""request completed"",""path"":""/admin/generate_link"",""referer"":""http://localhost:3000"",""remote_addr"":""81.77.184.246"",""request_id"":""9830042f820c79c4-LHR"",""status"":500,""time"":""2025-09-22T07:16:21Z""}",b94af648-2edc-4a32-aeb7-c53de920d89f,info,request completed,/admin/generate_link,500,1758525381000000
"failed to close prepared statement: ERROR: current transaction is aborted, commands ignored until end of transaction block (SQLSTATE 25P02): ERROR: duplicate key value violates unique constraint ""users_email_partial_key"" (SQLSTATE 23505)","{""component"":""api"",""error"":""failed to close prepared statement: ERROR: current transaction is aborted, commands ignored until end of transaction block (SQLSTATE 25P02): ERROR: duplicate key value violates unique constraint \""users_email_partial_key\"" (SQLSTATE 23505)"",""level"":""error"",""method"":""POST"",""msg"":""500: Database error saving new user"",""path"":""/admin/generate_link"",""referer"":""http://localhost:3000"",""remote_addr"":""81.77.184.246"",""request_id"":""9830042f820c79c4-LHR"",""time"":""2025-09-22T07:16:21Z""}",93f32a15-d846-4849-b6e0-619d274ce827,error,500: Database error saving new user,/admin/generate_link,null,1758525381000000
null,"{""component"":""api"",""duration"":235190231,""error_code"":""unexpected_failure"",""level"":""info"",""method"":""POST"",""msg"":""request completed"",""path"":""/otp"",""referer"":""http://localhost:3000/auth/callback"",""remote_addr"":""81.77.184.246"",""request_id"":""982fd18251992103-LHR"",""status"":500,""time"":""2025-09-22T06:41:45Z""}",ee93a25d-1c71-46d2-aef6-a6cf700b45ad,info,request completed,/otp,500,1758523305000000
"failed to close prepared statement: ERROR: current transaction is aborted, commands ignored until end of transaction block (SQLSTATE 25P02): ERROR: duplicate key value violates unique constraint ""users_email_partial_key"" (SQLSTATE 23505)","{""component"":""api"",""error"":""failed to close prepared statement: ERROR: current transaction is aborted, commands ignored until end of transaction block (SQLSTATE 25P02): ERROR: duplicate key value violates unique constraint \""users_email_partial_key\"" (SQLSTATE 23505)"",""level"":""error"",""method"":""POST"",""msg"":""500: Database error saving new user"",""path"":""/otp"",""referer"":""http://localhost:3000/auth/callback"",""remote_addr"":""81.77.184.246"",""request_id"":""982fd18251992103-LHR"",""time"":""2025-09-22T06:41:45Z""}",fa7a9879-35b6-4a17-abc0-3b602210cdd4,error,500: Database error saving new user,/otp,null,1758523305000000
