event_message,id,identifier,method,path,search,status_code,timestamp
GET | 400 | 81.77.184.246 | 982aff436c0fba61 | https://htxsylxwvcbrazdowjys.supabase.co/storage/v1/object/assets/33ac3f1e-48a8-4050-bb97-e67ca4ad232e/cksr84mv6KgMU4XpxosNJ.png | node,9d095d60-ec9b-487f-b868-d2658a841c9b,htxsylxwvcbrazdowjys,GET,/storage/v1/object/assets/33ac3f1e-48a8-4050-bb97-e67ca4ad232e/cksr84mv6KgMU4XpxosNJ.png,null,400,1758472750635000
GET | 200 | 81.77.184.246 | 982aff42fb2319ac | https://htxsylxwvcbrazdowjys.supabase.co/rest/v1/assets?select=storage_path&id=eq.f830f605-126b-410c-8d51-b062ed45a5d3&kind=eq.original | node,44a340f1-3c44-47dc-8139-c4dfc30bd496,htxsylxwvcbrazdowjys,GET,/rest/v1/assets,?select=storage_path&id=eq.f830f605-126b-410c-8d51-b062ed45a5d3&kind=eq.original,200,1758472750558000
"PUT | 200 | 81.77.184.246 | 982aff284dbfef23 | https://htxsylxwvcbrazdowjys.supabase.co/storage/v1/object/upload/sign/originals/33ac3f1e-48a8-4050-bb97-e67ca4ad232e/cksr84mv6KgMU4XpxosNJ.png?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV84MDg4YTkzZC1iOGFmLTRkNGMtYmQwNS1iZWM1NWM1MWNjYTciLCJhbGciOiJIUzI1NiJ9.eyJvd25lciI6IjMzYWMzZjFlLTQ4YTgtNDA1MC1iYjk3LWU2N2NhNGFkMjMyZSIsInVybCI6Im9yaWdpbmFscy8zM2FjM2YxZS00OGE4LTQwNTAtYmI5Ny1lNjdjYTRhZDIzMmUvY2tzcjg0bXY2S2dNVTRYcHhvc05KLnBuZyIsInVwc2VydCI6ZmFsc2UsImlhdCI6MTc1ODQ3Mjc0NiwiZXhwIjoxNzU4NDc5OTQ2fQ.G-xh02UendAmuztD2mJ26Uas2gcr7DbElojuTD-QkI8 | Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Mobile Safari/537.36",c94eb720-db58-48d7-bafe-51e6d659ce28,htxsylxwvcbrazdowjys,PUT,/storage/v1/object/upload/sign/originals/33ac3f1e-48a8-4050-bb97-e67ca4ad232e/cksr84mv6KgMU4XpxosNJ.png,?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV84MDg4YTkzZC1iOGFmLTRkNGMtYmQwNS1iZWM1NWM1MWNjYTciLCJhbGciOiJIUzI1NiJ9.eyJvd25lciI6IjMzYWMzZjFlLTQ4YTgtNDA1MC1iYjk3LWU2N2NhNGFkMjMyZSIsInVybCI6Im9yaWdpbmFscy8zM2FjM2YxZS00OGE4LTQwNTAtYmI5Ny1lNjdjYTRhZDIzMmUvY2tzcjg0bXY2S2dNVTRYcHhvc05KLnBuZyIsInVwc2VydCI6ZmFsc2UsImlhdCI6MTc1ODQ3Mjc0NiwiZXhwIjoxNzU4NDc5OTQ2fQ.G-xh02UendAmuztD2mJ26Uas2gcr7DbElojuTD-QkI8,200,1758472746600000
"OPTIONS | 200 | 81.77.184.246 | 982aff27fd08ef23 | https://htxsylxwvcbrazdowjys.supabase.co/storage/v1/object/upload/sign/originals/33ac3f1e-48a8-4050-bb97-e67ca4ad232e/cksr84mv6KgMU4XpxosNJ.png?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV84MDg4YTkzZC1iOGFmLTRkNGMtYmQwNS1iZWM1NWM1MWNjYTciLCJhbGciOiJIUzI1NiJ9.eyJvd25lciI6IjMzYWMzZjFlLTQ4YTgtNDA1MC1iYjk3LWU2N2NhNGFkMjMyZSIsInVybCI6Im9yaWdpbmFscy8zM2FjM2YxZS00OGE4LTQwNTAtYmI5Ny1lNjdjYTRhZDIzMmUvY2tzcjg0bXY2S2dNVTRYcHhvc05KLnBuZyIsInVwc2VydCI6ZmFsc2UsImlhdCI6MTc1ODQ3Mjc0NiwiZXhwIjoxNzU4NDc5OTQ2fQ.G-xh02UendAmuztD2mJ26Uas2gcr7DbElojuTD-QkI8 | Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Mobile Safari/537.36",27c48af9-7c01-4ba8-80ca-4a48de518ff7,htxsylxwvcbrazdowjys,OPTIONS,/storage/v1/object/upload/sign/originals/33ac3f1e-48a8-4050-bb97-e67ca4ad232e/cksr84mv6KgMU4XpxosNJ.png,?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV84MDg4YTkzZC1iOGFmLTRkNGMtYmQwNS1iZWM1NWM1MWNjYTciLCJhbGciOiJIUzI1NiJ9.eyJvd25lciI6IjMzYWMzZjFlLTQ4YTgtNDA1MC1iYjk3LWU2N2NhNGFkMjMyZSIsInVybCI6Im9yaWdpbmFscy8zM2FjM2YxZS00OGE4LTQwNTAtYmI5Ny1lNjdjYTRhZDIzMmUvY2tzcjg0bXY2S2dNVTRYcHhvc05KLnBuZyIsInVwc2VydCI6ZmFsc2UsImlhdCI6MTc1ODQ3Mjc0NiwiZXhwIjoxNzU4NDc5OTQ2fQ.G-xh02UendAmuztD2mJ26Uas2gcr7DbElojuTD-QkI8,200,1758472746254000
POST | 200 | 81.77.184.246 | 982aff25fdcba49d | https://htxsylxwvcbrazdowjys.supabase.co/storage/v1/object/upload/sign/originals/33ac3f1e-48a8-4050-bb97-e67ca4ad232e/cksr84mv6KgMU4XpxosNJ.png | node,4867f70e-da45-4395-8dba-b0c104381769,htxsylxwvcbrazdowjys,POST,/storage/v1/object/upload/sign/originals/33ac3f1e-48a8-4050-bb97-e67ca4ad232e/cksr84mv6KgMU4XpxosNJ.png,null,200,1758472745919000
GET | 400 | 81.77.184.246 | 982af7089a50ca10 | https://htxsylxwvcbrazdowjys.supabase.co/storage/v1/object/assets/33ac3f1e-48a8-4050-bb97-e67ca4ad232e/5VzdxtauXKN7L_eD81v0m.png | node,0e6ede80-246a-4b84-8b5d-438e2b9d01fd,htxsylxwvcbrazdowjys,GET,/storage/v1/object/assets/33ac3f1e-48a8-4050-bb97-e67ca4ad232e/5VzdxtauXKN7L_eD81v0m.png,null,400,1758472413538000
GET | 200 | 81.77.184.246 | 982af707fdec5672 | https://htxsylxwvcbrazdowjys.supabase.co/rest/v1/assets?select=storage_path&id=eq.3664ca44-2cf1-4b74-b086-a8dc09d69ce8&kind=eq.original | node,16af8970-2760-4f47-9bad-875fe7cb861b,htxsylxwvcbrazdowjys,GET,/rest/v1/assets,?select=storage_path&id=eq.3664ca44-2cf1-4b74-b086-a8dc09d69ce8&kind=eq.original,200,1758472413443000
"PUT | 200 | 81.77.184.246 | 982af6ea6a45ef21 | https://htxsylxwvcbrazdowjys.supabase.co/storage/v1/object/upload/sign/originals/33ac3f1e-48a8-4050-bb97-e67ca4ad232e/5VzdxtauXKN7L_eD81v0m.png?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV84MDg4YTkzZC1iOGFmLTRkNGMtYmQwNS1iZWM1NWM1MWNjYTciLCJhbGciOiJIUzI1NiJ9.eyJvd25lciI6IjMzYWMzZjFlLTQ4YTgtNDA1MC1iYjk3LWU2N2NhNGFkMjMyZSIsInVybCI6Im9yaWdpbmFscy8zM2FjM2YxZS00OGE4LTQwNTAtYmI5Ny1lNjdjYTRhZDIzMmUvNVZ6ZHh0YXVYS043TF9lRDgxdjBtLnBuZyIsInVwc2VydCI6ZmFsc2UsImlhdCI6MTc1ODQ3MjQwOCwiZXhwIjoxNzU4NDc5NjA4fQ.CIE3Np0Hzn17y_Ds9nD_lJoPJQjZRPMbwPGkJgAHJGw | Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Mobile Safari/537.36",092edea4-f0a8-4f9c-b0b2-5eba77bb14d8,htxsylxwvcbrazdowjys,PUT,/storage/v1/object/upload/sign/originals/33ac3f1e-48a8-4050-bb97-e67ca4ad232e/5VzdxtauXKN7L_eD81v0m.png,?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV84MDg4YTkzZC1iOGFmLTRkNGMtYmQwNS1iZWM1NWM1MWNjYTciLCJhbGciOiJIUzI1NiJ9.eyJvd25lciI6IjMzYWMzZjFlLTQ4YTgtNDA1MC1iYjk3LWU2N2NhNGFkMjMyZSIsInVybCI6Im9yaWdpbmFscy8zM2FjM2YxZS00OGE4LTQwNTAtYmI5Ny1lNjdjYTRhZDIzMmUvNVZ6ZHh0YXVYS043TF9lRDgxdjBtLnBuZyIsInVwc2VydCI6ZmFsc2UsImlhdCI6MTc1ODQ3MjQwOCwiZXhwIjoxNzU4NDc5NjA4fQ.CIE3Np0Hzn17y_Ds9nD_lJoPJQjZRPMbwPGkJgAHJGw,200,1758472409019000
"OPTIONS | 200 | 81.77.184.246 | 982af6ea1963ef21 | https://htxsylxwvcbrazdowjys.supabase.co/storage/v1/object/upload/sign/originals/33ac3f1e-48a8-4050-bb97-e67ca4ad232e/5VzdxtauXKN7L_eD81v0m.png?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV84MDg4YTkzZC1iOGFmLTRkNGMtYmQwNS1iZWM1NWM1MWNjYTciLCJhbGciOiJIUzI1NiJ9.eyJvd25lciI6IjMzYWMzZjFlLTQ4YTgtNDA1MC1iYjk3LWU2N2NhNGFkMjMyZSIsInVybCI6Im9yaWdpbmFscy8zM2FjM2YxZS00OGE4LTQwNTAtYmI5Ny1lNjdjYTRhZDIzMmUvNVZ6ZHh0YXVYS043TF9lRDgxdjBtLnBuZyIsInVwc2VydCI6ZmFsc2UsImlhdCI6MTc1ODQ3MjQwOCwiZXhwIjoxNzU4NDc5NjA4fQ.CIE3Np0Hzn17y_Ds9nD_lJoPJQjZRPMbwPGkJgAHJGw | Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Mobile Safari/537.36",929b24ae-02a1-4c8b-8b88-6eafc95d38df,htxsylxwvcbrazdowjys,OPTIONS,/storage/v1/object/upload/sign/originals/33ac3f1e-48a8-4050-bb97-e67ca4ad232e/5VzdxtauXKN7L_eD81v0m.png,?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV84MDg4YTkzZC1iOGFmLTRkNGMtYmQwNS1iZWM1NWM1MWNjYTciLCJhbGciOiJIUzI1NiJ9.eyJvd25lciI6IjMzYWMzZjFlLTQ4YTgtNDA1MC1iYjk3LWU2N2NhNGFkMjMyZSIsInVybCI6Im9yaWdpbmFscy8zM2FjM2YxZS00OGE4LTQwNTAtYmI5Ny1lNjdjYTRhZDIzMmUvNVZ6ZHh0YXVYS043TF9lRDgxdjBtLnBuZyIsInVwc2VydCI6ZmFsc2UsImlhdCI6MTc1ODQ3MjQwOCwiZXhwIjoxNzU4NDc5NjA4fQ.CIE3Np0Hzn17y_Ds9nD_lJoPJQjZRPMbwPGkJgAHJGw,200,1758472408673000
POST | 200 | 81.77.184.246 | 982af6e60d1d4140 | https://htxsylxwvcbrazdowjys.supabase.co/storage/v1/object/upload/sign/originals/33ac3f1e-48a8-4050-bb97-e67ca4ad232e/5VzdxtauXKN7L_eD81v0m.png | node,76731181-01b9-4e37-a456-0258a07f50b0,htxsylxwvcbrazdowjys,POST,/storage/v1/object/upload/sign/originals/33ac3f1e-48a8-4050-bb97-e67ca4ad232e/5VzdxtauXKN7L_eD81v0m.png,null,200,1758472408020000
"PUT | 200 | 81.77.184.246 | 982aedfcbcec63a8 | https://htxsylxwvcbrazdowjys.supabase.co/storage/v1/object/upload/sign/originals/33ac3f1e-48a8-4050-bb97-e67ca4ad232e/yb-7uoncJk2lVJXfWnMHa.png?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV84MDg4YTkzZC1iOGFmLTRkNGMtYmQwNS1iZWM1NWM1MWNjYTciLCJhbGciOiJIUzI1NiJ9.eyJvd25lciI6IjMzYWMzZjFlLTQ4YTgtNDA1MC1iYjk3LWU2N2NhNGFkMjMyZSIsInVybCI6Im9yaWdpbmFscy8zM2FjM2YxZS00OGE4LTQwNTAtYmI5Ny1lNjdjYTRhZDIzMmUveWItN3VvbmNKazJsVkpYZlduTUhhLnBuZyIsInVwc2VydCI6ZmFsc2UsImlhdCI6MTc1ODQ3MjA0MiwiZXhwIjoxNzU4NDc5MjQyfQ.SapUN-Gf6MTFYAAii969jMTQt9uN8-AruJd_hMiL520 | Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Mobile Safari/537.36",82b8fccb-7c51-4d93-9328-39c0334e3b4d,htxsylxwvcbrazdowjys,PUT,/storage/v1/object/upload/sign/originals/33ac3f1e-48a8-4050-bb97-e67ca4ad232e/yb-7uoncJk2lVJXfWnMHa.png,?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV84MDg4YTkzZC1iOGFmLTRkNGMtYmQwNS1iZWM1NWM1MWNjYTciLCJhbGciOiJIUzI1NiJ9.eyJvd25lciI6IjMzYWMzZjFlLTQ4YTgtNDA1MC1iYjk3LWU2N2NhNGFkMjMyZSIsInVybCI6Im9yaWdpbmFscy8zM2FjM2YxZS00OGE4LTQwNTAtYmI5Ny1lNjdjYTRhZDIzMmUveWItN3VvbmNKazJsVkpYZlduTUhhLnBuZyIsInVwc2VydCI6ZmFsc2UsImlhdCI6MTc1ODQ3MjA0MiwiZXhwIjoxNzU4NDc5MjQyfQ.SapUN-Gf6MTFYAAii969jMTQt9uN8-AruJd_hMiL520,200,1758472043313000
